Author,Betweenness,Cluster_Rank,Coreness,Decay,Degree,Diffusion,Dispersion,Eccentricity,Eigenvector,EvidentialSemiLocal,Harmonic,Katz,Load,Local_Structural,PageRank,Percolation,Radiality,SecondOrder,Semi_Local,Subgraph,VoteRank,Closeness,Class
P Dayan,0,5.7103700319780715e-05,3,3062.15625,9.51728338663012e-05,4043.3990000000003,0.2031104819576924,8,6.114686960876355e-05,5829.650752575538,12166.004761906624,0.001911103,4.28747260842447e-09,12,2.178822172168672e-05,1.259891118608727e-10,0.6131880333745757,0.6072202086086241,5852,9.778555968257208e-05,0,0.22651477216641047,Nonawardee
Jt Chien…,0,5.710370031978072e-05,3,3305.664063,5.710370031978072e-05,6410.850875000001,0,8,0.000108777,10028.777988908874,12515.714285716322,0.00190649,0,6,1.303646963906476e-05,0,0.6217886488372831,0.6023999435055301,10051,8.603865692954787e-05,0,0.23274809007764458,Nonawardee
Ge Dahl…,0,5.710370031978072e-05,3,3404.507813,5.710370031978072e-05,10747.801625000002,0,8,0.000209785,13562.58719968676,12653.86428571646,0.001968741,0,6,1.146510444803654e-05,0,0.6248723073506551,0.6085879153147573,13585,0.000101378,0,0.235067363,Nonawardee
Y Lecun,19700.04970395869,4.6528941001302804e-05,4,3280.15625,0.000190346,7395.907374999999,0.4874651566984619,8,0.000109807,8924.216985121027,12474.830952383018,0.002043696,3.7835498989814555e-05,22,3.8109469533456593e-05,2.9030207219332845e-08,0.6201817835728561,0.6245426269063741,8961,0.00011604,0,0.2315575838025624,Nonawardee
N Morgan,0,5.710370031978072e-05,3,3305.664063,5.710370031978072e-05,6410.850875000001,0,8,0.000108777,10028.777988908874,12515.714285716322,0.00190649,0,6,1.303646963906476e-05,0,0.6217886488372831,0.6023999435055301,10051,8.603865692954798e-05,0,0.23274809007764458,Nonawardee
S Becker,8250.775355440388,5.7103700319780715e-05,4,3865.289063,9.51728338663012e-05,12038.078250000006,0,8,0.000191133,18195.835371693767,13282.45238095558,0.002012183,9.92497572777524e-06,12,2.1974771229277442e-05,2.47464604385184e-07,0.6376986770724279,0.6589202776860611,18241,0.000122899,0,0.24523171775798372,Nonawardee
Md Zeiler,24844.64635438824,5.3296786965128676e-05,3,3064.28125,0.000114207,3954.9649999999997,0.3009044177150999,8,6.169017366984076e-05,5845.747921786697,12169.338095239948,0.001927737,3.5954652618232406e-05,14,2.5884820690256684e-05,5.630928295187125e-07,0.6132657593350465,0.6070383,5868,9.135867338348756e-05,0,0.22656960887418032,Nonawardee
A Paccanaro,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876898e-05,0,0.2265058217550872,Nonawardee
Cki Williams,24542.5,2.5379422364346984e-05,2,3061.90625,7.613826709304096e-05,3804.5043750000013,0.1692587349647437,8,5.971305797165341e-05,5827.5015707006605,12165.504761906624,0.001891839,3.5569838950499746e-05,4,2.233938246523691e-05,2.2231149344062363e-06,0.6131864471304844,0.6071321453849297,5850,8.178685561180435e-05,0,0.22651365332631188,Nonawardee
Ma Carreira-Perpinan,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876902e-05,0,0.2265058217550872,Nonawardee
Jm Susskind,0,3.806913354652048e-05,2,3060.90625,3.806913354652048e-05,3695.190125000001,0,8,5.905699784385579e-05,5831.508300978662,12163.838095239957,0.001857631,0,2,1.1243573174623136e-05,0,0.61317693,0.6067378086214855,5853,7.635612519516252e-05,0,0.22650694051782055,Nonawardee
J Martens,2745.974902540746,3.806913354652048e-05,3,3062.09375,5.710370031978072e-05,3840.123625,0.2256783132863249,8,6.068406778081653e-05,5853.872397407809,12165.588095239957,0.001877075,4.0719782400805545e-06,4,1.333593989469527e-05,5.002807212048165e-07,0.6131927921068494,0.6072159673037147,5876,8.099901010257293e-05,0,0.22651812875302405,Nonawardee
K Lang,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876898e-05,0,0.2265058217550872,Nonawardee
Lm Parsons,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876902e-05,0,0.2265058217550872,Nonawardee
D Van Camp,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876896e-05,0,0.2265058217550872,Nonawardee
Pk Kienker,37.64914962075499,3.806913354652048e-05,3,3064.921875,5.710370031978072e-05,3989.970125000001,0.2256783132863249,8,6.419716626658737e-05,5908.754148882616,12169.438095239962,0.001879795,6.80087131096463e-08,4,1.3428708928387188e-05,6.462058392594783e-09,0.6132721043114114,0.6079268181420666,5931,0.000124789,0,0.22657408651231203,Nonawardee
Yg Flores,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876898e-05,0,0.2265058217550872,Nonawardee
B Sallans,0,3.806913354652048e-05,2,3061.65625,3.806913354652048e-05,3914.432750000001,0,8,6.295981807000028e-05,5836.198251253667,12164.838095239957,0.001861658,0,2,9.826389786727076e-06,0,0.6131864471304844,0.6070650300166277,5859,0.000118366,0,0.22651365332631188,Nonawardee
